Art,Form
Engpibe,0.7419
Engpibe,0.7522
Engpibe,0.7751
Engpibe,0.75
Engpibe,0.7613
Engpibe,0.7511
Engpibe,0.7793
Engpibe,0.6914
Engpibe,0.7534
Engpibe,0.7522
Engpibe,0.8209
Engpibe,0.7682
Engpibe,0.7237
Engpibe,0.7727
Engpibe,0.7589
Engpibe,0.7309
Engpibe,0.7864
Engpibe,0.7602
Engpibe,0.7763
Engpibe,0.7348
Engpibe,0.7727
Engpibe,0.7727
Engpibe,0.7828
Engpibe,0.7636
Engpibe,0.8061
Engpibe,0.75
Engpibe,0.7682
Engpibe,0.7009
Engpibe,0.6891
Engpibe,0.721
Engpibe,0.76
Engpibe,0.7623
Engpibe,0.7808
Engpibe,0.7818
Engpibe,0.7465
Engpibe,0.7167
Engpibe,0.7568
Engpibe,0.7265
Engpibe,0.7193
Engpibe,0.7511
Engpibe,0.7173
Engpibe,0.7818
Engpibe,0.7763
Engpibe,0.7297
Engpibe,0.6639
Vipstjert,0.7087
Vipstjert,0.7137
Vipstjert,0.7083
Vipstjert,0.6996
Vipstjert,0.7229
Vipstjert,0.7366
Vipstjert,0.7339
Vipstjert,0.7339
Vipstjert,0.6747
Vipstjert,0.6583
Vipstjert,0.733
Vipstjert,0.8143
Vipstjert,0.708
Vipstjert,0.7717
Vipstjert,0.7167
