Omraade,Laengde,Bredde
Kyushu,31.2,6.6
Kyushu,34.9,6.1
Kyushu,41.3,4.2
Kyushu,41.3,6.8
Kyushu,44.9,4.5
Kyushu,46.2,6.1
Kyushu,47.5,8.2
Kyushu,51.6,5.9
Kyushu,57.7,7.6
Kyushu,59.4,8
Kyushu,61.1,8.7
Kyushu,61.1,6.4
Kyushu,62.8,8.9
Kyushu,92.9,12.3
Kyushu,98.2,17.4
Kilve,54.6,6.8
Kilve,62.8,9.8
Kilve,64.6,14.3
Kilve,70.2,12.9
Kilve,72.2,4.9
Kilve,76.4,10.4
Kilve,80.7,11.9
Kilve,90.3,6.6
Kilve,92.9,9.6
Kilve,103.8,9.8
Kilve,103.8,19.3
Kilve,119.4,16
Kilve,122.8,9.6
Kilve,122.8,9.8
Kilve,122.8,14.3
Kilve,126.3,16
Kilve,133.6,15.5
Kilve,149.4,14.3
Kilve,167,23.9
Kilve,233.6,29.6
RM,2996,842
RM,3351,1043
RM,3644,1072
RM,3747,1193
RM,3963,1226
RM,3963,842
RM,4075,912
RM,4309,1131
RM,4686,1833
RM,4819,1737
RM,4955,1603
RM,5096,2041
RM,5389,1646
RM,5542,1365
RM,4955,1737
RM,6931,1784
RM,6931,1987
RM,7330,1987
RM,7537,1883
RM,7537,1784
RM,8197,1737
RM,8197,1603
RM,7971,2212
RM,7751,2334
RM,7751,2463
RM,7971,2669
RM,11466,3053
RM,12823,4101
RM,13560,4948
